studentId,name,email,password,departmentId,academicYear,admissionYear,gender,phone
IT26-036,IT Student 36,it.student36@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Female,+1234567890
IT26-037,IT Student 37,it.student37@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Male,+1234567890
IT26-038,IT Student 38,it.student38@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Female,+1234567890
IT26-039,IT Student 39,it.student39@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Male,+1234567890
IT26-040,IT Student 40,it.student40@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Female,+1234567890
IT26-041,IT Student 41,it.student41@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Male,+1234567890
IT26-042,IT Student 42,it.student42@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Female,+1234567890
IT26-043,IT Student 43,it.student43@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Male,+1234567890
IT26-044,IT Student 44,it.student44@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Female,+1234567890
IT26-045,IT Student 45,it.student45@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Male,+1234567890
IT26-046,IT Student 46,it.student46@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Female,+1234567890
IT26-047,IT Student 47,it.student47@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Male,+1234567890
IT26-048,IT Student 48,it.student48@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Female,+1234567890
IT26-049,IT Student 49,it.student49@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Male,+1234567890
IT26-050,IT Student 50,it.student50@test.edu,password123,69ec688e40c4c60417ae8d8d,Year 1,2026,Female,+1234567890
